apy,time
0.998165482,2021-11-25T06:00:00Z
0.998165482,2021-11-25T07:00:00Z
0.8307770238,2021-11-25T08:00:00Z
0.4960001073,2021-11-25T09:00:00Z
0.4960001073,2021-11-25T10:00:00Z
0.4960001073,2021-11-25T11:00:00Z
0.4960001073,2021-11-25T12:00:00Z
0.4960001073,2021-11-25T13:00:00Z
0.4960001073,2021-11-25T14:00:00Z
0.4960001073,2021-11-25T15:00:00Z
0.4960001073,2021-11-25T16:00:00Z
0.4960001073,2021-11-25T17:00:00Z
0.4960001073,2021-11-25T18:00:00Z
0.4960001073,2021-11-25T19:00:00Z
0.4960001073,2021-11-25T20:00:00Z
0.4960001073,2021-11-25T21:00:00Z
0.4960001073,2021-11-26T00:00:00Z
0.4960001073,2021-11-26T01:00:00Z
0.4960001073,2021-11-26T02:00:00Z
0.4960001073,2021-11-26T03:00:00Z
0.4960001073,2021-11-26T04:00:00Z
0.4960001073,2021-11-26T05:00:00Z
0.4960001073,2021-11-26T07:00:00Z
0.5205020481,2021-11-26T08:00:00Z
0.7900233973,2021-11-26T09:00:00Z
0.7900233973,2021-11-26T10:00:00Z
0.7900233973,2021-11-26T11:00:00Z
0.7900233973,2021-11-26T12:00:00Z
0.7900233973,2021-11-26T13:00:00Z
0.7900233973,2021-11-26T14:00:00Z
0.7900233973,2021-11-26T15:00:00Z
0.7900233973,2021-11-26T16:00:00Z
0.7900233973,2021-11-26T17:00:00Z
0.7900233973,2021-11-26T18:00:00Z
0.7900233973,2021-11-26T19:00:00Z
0.7900233973,2021-11-26T20:00:00Z
0.7900233973,2021-11-26T21:00:00Z
0.7900233973,2021-11-26T22:00:00Z
0.7900233973,2021-11-26T23:00:00Z
0.7900233973,2021-11-27T00:00:00Z
0.7900233973,2021-11-27T01:00:00Z
0.7900233973,2021-11-27T02:00:00Z
0.7900233973,2021-11-27T03:00:00Z
0.7900233973,2021-11-27T04:00:00Z
0.7900233973,2021-11-27T05:00:00Z
0.7900233973,2021-11-27T06:00:00Z
0.7900233973,2021-11-27T07:00:00Z
0.7900233973,2021-11-27T08:00:00Z
2.355886738,2021-11-27T09:00:00Z
3.138818409,2021-11-27T10:00:00Z
3.138818409,2021-11-27T11:00:00Z
3.138818409,2021-11-27T12:00:00Z
3.138818409,2021-11-27T13:00:00Z
3.138818409,2021-11-27T14:00:00Z
3.138818409,2021-11-27T15:00:00Z
3.138818409,2021-11-27T16:00:00Z
3.138818409,2021-11-27T17:00:00Z
3.138818409,2021-11-27T18:00:00Z
3.138818409,2021-11-27T19:00:00Z
3.138818409,2021-11-27T20:00:00Z
3.138818409,2021-11-27T21:00:00Z
3.138818409,2021-11-27T22:00:00Z
3.138818409,2021-11-27T23:00:00Z
3.138818409,2021-11-28T00:00:00Z
3.138818409,2021-11-28T01:00:00Z
3.138818409,2021-11-28T02:00:00Z
3.138818409,2021-11-28T03:00:00Z
3.138818409,2021-11-28T04:00:00Z
3.138818409,2021-11-28T05:00:00Z
3.138818409,2021-11-28T06:00:00Z
3.138818409,2021-11-28T07:00:00Z
3.138818409,2021-11-28T08:00:00Z
3.130337026,2021-11-28T09:00:00Z
3.045523203,2021-11-28T10:00:00Z
3.045523203,2021-11-28T11:00:00Z
3.045523203,2021-11-28T12:00:00Z
3.045523203,2021-11-28T13:00:00Z
3.045523203,2021-11-28T14:00:00Z
3.045523203,2021-11-28T15:00:00Z
3.045523203,2021-11-28T16:00:00Z
3.045523203,2021-11-28T17:00:00Z
3.045523203,2021-11-28T18:00:00Z
3.045523203,2021-11-28T19:00:00Z
3.045523203,2021-11-28T20:00:00Z
3.045523203,2021-11-28T21:00:00Z
3.045523203,2021-11-28T22:00:00Z
3.045523203,2021-11-28T23:00:00Z
3.045523203,2021-11-29T00:00:00Z
3.045523203,2021-11-29T01:00:00Z
3.045523203,2021-11-29T02:00:00Z
3.045523203,2021-11-29T03:00:00Z
3.045523203,2021-11-29T04:00:00Z
3.045523203,2021-11-29T05:00:00Z
3.045523203,2021-11-29T06:00:00Z
3.045523203,2021-11-29T07:00:00Z
3.045523203,2021-11-29T08:00:00Z
3.045523203,2021-11-29T09:00:00Z
3.130124384,2021-11-29T10:00:00Z
3.214725564,2021-11-29T11:00:00Z
3.214725564,2021-11-29T12:00:00Z
3.214725564,2021-11-29T13:00:00Z
3.214725564,2021-11-29T14:00:00Z
3.214725564,2021-11-29T15:00:00Z
3.214725564,2021-11-29T16:00:00Z
3.214725564,2021-11-29T17:00:00Z
3.214725564,2021-11-29T18:00:00Z
3.214725564,2021-11-29T19:00:00Z
3.214725564,2021-11-29T20:00:00Z
3.214725564,2021-11-29T21:00:00Z
3.214725564,2021-11-29T22:00:00Z
3.214725564,2021-11-29T23:00:00Z
3.214725564,2021-11-30T00:00:00Z
3.214725564,2021-11-30T01:00:00Z
3.214725564,2021-11-30T02:00:00Z
3.214725564,2021-11-30T03:00:00Z
3.214725564,2021-11-30T04:00:00Z
3.214725564,2021-11-30T05:00:00Z
3.214725564,2021-11-30T06:00:00Z
3.214725564,2021-11-30T07:00:00Z
3.214725564,2021-11-30T08:00:00Z
3.214725564,2021-11-30T09:00:00Z
2.834970964,2021-11-30T10:00:00Z
0.9361979657,2021-11-30T11:00:00Z
0.9361979657,2021-11-30T12:00:00Z
0.9361979657,2021-11-30T13:00:00Z
0.9361979657,2021-11-30T14:00:00Z
0.9361979657,2021-11-30T15:00:00Z
0.9361979657,2021-11-30T16:00:00Z
0.9361979657,2021-11-30T17:00:00Z
0.9361979657,2021-11-30T18:00:00Z
0.9361979657,2021-11-30T19:00:00Z
0.9361979657,2021-11-30T20:00:00Z
0.9361979657,2021-11-30T21:00:00Z
0.9361979657,2021-11-30T22:00:00Z
0.9361979657,2021-11-30T23:00:00Z
0.9361979657,2021-12-01T00:00:00Z
0.9361979657,2021-12-01T01:00:00Z
0.9361979657,2021-12-01T02:00:00Z
0.9361979657,2021-12-01T03:00:00Z
0.9361979657,2021-12-01T04:00:00Z
0.9361979657,2021-12-01T05:00:00Z
0.9361979657,2021-12-01T06:00:00Z
0.9361979657,2021-12-01T07:00:00Z
0.9361979657,2021-12-01T08:00:00Z
0.9361979657,2021-12-01T09:00:00Z
0.9361979657,2021-12-01T10:00:00Z
1.649017455,2021-12-01T11:00:00Z
1.93414525,2021-12-01T12:00:00Z
1.93414525,2021-12-01T13:00:00Z
1.93414525,2021-12-01T14:00:00Z
1.93414525,2021-12-01T15:00:00Z
1.93414525,2021-12-01T16:00:00Z
1.93414525,2021-12-01T17:00:00Z
1.93414525,2021-12-01T18:00:00Z
1.93414525,2021-12-01T19:00:00Z
1.93414525,2021-12-01T20:00:00Z
1.93414525,2021-12-01T21:00:00Z
1.93414525,2021-12-01T22:00:00Z
1.93414525,2021-12-01T23:00:00Z
1.93414525,2021-12-02T00:00:00Z
1.93414525,2021-12-02T01:00:00Z
1.93414525,2021-12-02T03:00:00Z
1.93414525,2021-12-02T04:00:00Z
1.93414525,2021-12-02T05:00:00Z
1.93414525,2021-12-02T06:00:00Z
1.93414525,2021-12-02T07:00:00Z
1.93414525,2021-12-02T08:00:00Z
1.93414525,2021-12-02T09:00:00Z
1.93414525,2021-12-02T10:00:00Z
2.023528304,2021-12-02T11:00:00Z
2.381060521,2021-12-02T12:00:00Z
2.381060521,2021-12-02T13:00:00Z
2.381060521,2021-12-02T14:00:00Z
2.381060521,2021-12-02T15:00:00Z
2.381060521,2021-12-02T16:00:00Z
2.381060521,2021-12-02T17:00:00Z
2.381060521,2021-12-02T18:00:00Z
2.381060521,2021-12-02T19:00:00Z
2.381060521,2021-12-02T20:00:00Z
2.381060521,2021-12-02T21:00:00Z
2.381060521,2021-12-02T22:00:00Z
2.381060521,2021-12-02T23:00:00Z
2.381060521,2021-12-03T00:00:00Z
2.381060521,2021-12-03T01:00:00Z
2.381060521,2021-12-03T02:00:00Z
2.381060521,2021-12-03T03:00:00Z
2.381060521,2021-12-03T04:00:00Z
2.381060521,2021-12-03T06:00:00Z
2.381060521,2021-12-03T07:00:00Z
2.381060521,2021-12-03T08:00:00Z
2.381060521,2021-12-03T09:00:00Z
2.381060521,2021-12-03T10:00:00Z
2.426974361,2021-12-03T11:00:00Z
2.886112764,2021-12-03T12:00:00Z
2.886112764,2021-12-03T13:00:00Z
2.886112764,2021-12-03T14:00:00Z
2.886112764,2021-12-03T15:00:00Z
2.886112764,2021-12-03T16:00:00Z
2.886112764,2021-12-03T17:00:00Z
2.886112764,2021-12-03T18:00:00Z
2.886112764,2021-12-03T19:00:00Z
2.886112764,2021-12-03T20:00:00Z
2.886112764,2021-12-03T21:00:00Z
2.886112764,2021-12-03T22:00:00Z
2.886112764,2021-12-03T23:00:00Z
2.886112764,2021-12-04T00:00:00Z
2.886112764,2021-12-04T01:00:00Z
2.886112764,2021-12-04T02:00:00Z
2.886112764,2021-12-04T03:00:00Z
2.886112764,2021-12-04T04:00:00Z
2.886112764,2021-12-04T05:00:00Z
2.886112764,2021-12-04T06:00:00Z
2.886112764,2021-12-04T07:00:00Z
2.886112764,2021-12-04T08:00:00Z
2.886112764,2021-12-04T09:00:00Z
2.886112764,2021-12-04T10:00:00Z
2.886112764,2021-12-04T11:00:00Z
3.325551728,2021-12-04T12:00:00Z
3.911470347,2021-12-04T13:00:00Z
3.911470347,2021-12-04T14:00:00Z
3.911470347,2021-12-04T15:00:00Z
3.911470347,2021-12-04T16:00:00Z
3.911470347,2021-12-04T17:00:00Z
3.911470347,2021-12-04T18:00:00Z
3.911470347,2021-12-04T19:00:00Z
3.911470347,2021-12-04T20:00:00Z
3.911470347,2021-12-04T21:00:00Z
3.911470347,2021-12-04T22:00:00Z
3.911470347,2021-12-04T23:00:00Z
3.911470347,2021-12-05T00:00:00Z
3.911470347,2021-12-05T01:00:00Z
3.911470347,2021-12-05T02:00:00Z
3.911470347,2021-12-05T03:00:00Z
3.911470347,2021-12-05T04:00:00Z
3.911470347,2021-12-05T05:00:00Z
3.911470347,2021-12-05T06:00:00Z
3.911470347,2021-12-05T07:00:00Z
