unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1630972800000,2021-09-07 00:00:00,ETH/USDT,3926.67000000,3932.05000000,3913.00000000,3920.05000000,5155.61550000,20227807.80975000,9822
1630969200000,2021-09-06 23:00:00,ETH/USDT,3939.99000000,3944.56000000,3919.00000000,3926.77000000,13019.39080000,51132311.87293600,26983
1630965600000,2021-09-06 22:00:00,ETH/USDT,3953.32000000,3969.00000000,3933.37000000,3939.98000000,17028.26960000,67235141.31608200,31251
1630962000000,2021-09-06 21:00:00,ETH/USDT,3951.73000000,3964.25000000,3938.81000000,3953.33000000,12450.10040000,49215463.59345300,27224
1630958400000,2021-09-06 20:00:00,ETH/USDT,3937.80000000,3952.25000000,3926.00000000,3951.73000000,11020.47180000,43402413.69201200,23361
1630954800000,2021-09-06 19:00:00,ETH/USDT,3947.48000000,3959.76000000,3937.23000000,3937.80000000,15571.37610000,61503827.69997000,32304
1630951200000,2021-09-06 18:00:00,ETH/USDT,3932.83000000,3949.84000000,3924.88000000,3947.47000000,10343.56770000,40726548.11550700,21550
1630947600000,2021-09-06 17:00:00,ETH/USDT,3926.19000000,3940.61000000,3924.41000000,3932.84000000,7301.91540000,28723629.22295800,18972
1630944000000,2021-09-06 16:00:00,ETH/USDT,3924.98000000,3943.98000000,3912.04000000,3926.20000000,15186.74600000,59682675.51442400,47217
1630940400000,2021-09-06 15:00:00,ETH/USDT,3939.89000000,3945.00000000,3922.60000000,3924.98000000,16245.89370000,63933374.15980100,66039
1630936800000,2021-09-06 14:00:00,ETH/USDT,3916.06000000,3943.22000000,3911.13000000,3939.90000000,18538.66240000,72890752.75867100,61395
1630933200000,2021-09-06 13:00:00,ETH/USDT,3904.17000000,3920.00000000,3889.00000000,3916.08000000,17019.27030000,66445122.02595300,37469
1630929600000,2021-09-06 12:00:00,ETH/USDT,3904.99000000,3916.12000000,3864.30000000,3904.14000000,41592.64800000,161821545.70697400,76907
1630926000000,2021-09-06 11:00:00,ETH/USDT,3947.66000000,3955.00000000,3900.00000000,3904.77000000,32407.56930000,127222745.66292900,53106
1630922400000,2021-09-06 10:00:00,ETH/USDT,3956.42000000,3958.87000000,3938.18000000,3947.66000000,11088.88230000,43753171.74653300,24828
1630918800000,2021-09-06 09:00:00,ETH/USDT,3959.01000000,3965.00000000,3941.53000000,3956.42000000,13882.69220000,54854348.07311200,56311
1630915200000,2021-09-06 08:00:00,ETH/USDT,3943.77000000,3970.00000000,3939.06000000,3959.01000000,16533.45480000,65352269.55279000,35928
1630911600000,2021-09-06 07:00:00,ETH/USDT,3933.06000000,3953.29000000,3926.73000000,3943.76000000,22368.05950000,88084056.37341200,36010
1630908000000,2021-09-06 06:00:00,ETH/USDT,3931.39000000,3943.00000000,3927.00000000,3933.07000000,13376.64480000,52664298.33475900,29484
1630904400000,2021-09-06 05:00:00,ETH/USDT,3922.00000000,3933.01000000,3908.40000000,3931.42000000,12055.29840000,47291085.42648400,28763
1630900800000,2021-09-06 04:00:00,ETH/USDT,3904.97000000,3925.45000000,3897.22000000,3921.99000000,19618.48470000,76678294.28114900,25902
1630897200000,2021-09-06 03:00:00,ETH/USDT,3918.50000000,3934.28000000,3900.00000000,3904.98000000,18830.82670000,73686074.11202200,30519
1630893600000,2021-09-06 02:00:00,ETH/USDT,3927.22000000,3927.67000000,3914.29000000,3918.51000000,9290.42470000,36426923.11778600,17512
1630890000000,2021-09-06 01:00:00,ETH/USDT,3930.50000000,3933.79000000,3912.46000000,3927.21000000,11238.21300000,44084246.06051500,25826
