block,ts,price
13083055,2021-08-23 18:02:05 UTC,3329620000000000000000
13082777,2021-08-23 17:01:19 UTC,3329620000000000000000
13082510,2021-08-23 16:01:38 UTC,3342943125090000000000
13082231,2021-08-23 15:00:55 UTC,3342943125090000000000
13081981,2021-08-23 14:04:03 UTC,3342943125090000000000
13081708,2021-08-23 13:01:48 UTC,3342943125090000000000
13081410,2021-08-23 12:01:04 UTC,3323000000000000000000
13081159,2021-08-23 11:00:58 UTC,3323000000000000000000
13080891,2021-08-23 10:01:20 UTC,3323000000000000000000
13080630,2021-08-23 09:01:22 UTC,3350300000000000000000
13080358,2021-08-23 08:01:48 UTC,3350300000000000000000
13080095,2021-08-23 07:01:14 UTC,3350300000000000000000
13079839,2021-08-23 06:01:18 UTC,3350300000000000000000
13079572,2021-08-23 05:01:16 UTC,3316990000000000000000
13079304,2021-08-23 04:01:12 UTC,3281080000000000000000
13079083,2021-08-23 03:05:25 UTC,3247500000000000000000
13078791,2021-08-23 02:01:12 UTC,3247500000000000000000
13078539,2021-08-23 01:00:36 UTC,3247500000000000000000
13078275,2021-08-23 00:01:19 UTC,3187302511120000000000
13078010,2021-08-22 23:01:28 UTC,3150214418360000000000
13077734,2021-08-22 22:01:23 UTC,3150214418360000000000
13077435,2021-08-22 21:02:34 UTC,3150214418360000000000
13077164,2021-08-22 20:01:19 UTC,3150214418360000000000
13076906,2021-08-22 19:06:25 UTC,3170100000000000000000
13076607,2021-08-22 18:01:15 UTC,3170100000000000000000
13076308,2021-08-22 17:00:11 UTC,3170100000000000000000
13076048,2021-08-22 16:01:11 UTC,3218410000000000000000
13075801,2021-08-22 15:03:14 UTC,3254860000000000000000
13075551,2021-08-22 14:01:48 UTC,3254860000000000000000
13075269,2021-08-22 13:01:23 UTC,3254860000000000000000
13075004,2021-08-22 12:01:18 UTC,3268770000000000000000
13074710,2021-08-22 11:01:18 UTC,3268770000000000000000
13074420,2021-08-22 10:01:23 UTC,3268770000000000000000
13074127,2021-08-22 09:01:23 UTC,3234934578399999700000
13073912,2021-08-22 08:05:22 UTC,3234934578399999700000
13073652,2021-08-22 07:01:26 UTC,3234934578399999700000
13073391,2021-08-22 06:04:18 UTC,3247900000000000000000
13073110,2021-08-22 05:01:29 UTC,3247900000000000000000
13072838,2021-08-22 04:01:33 UTC,3247900000000000000000
13072564,2021-08-22 03:01:42 UTC,3259680000000000000000
13072297,2021-08-22 02:05:24 UTC,3259680000000000000000
13072021,2021-08-22 01:01:12 UTC,3259680000000000000000
13071761,2021-08-22 00:02:19 UTC,3259680000000000000000
13071476,2021-08-21 23:01:27 UTC,3226423141999999600000
13071231,2021-08-21 22:04:35 UTC,3226423141999999600000
13070945,2021-08-21 21:05:02 UTC,3226423141999999600000
13070672,2021-08-21 20:05:16 UTC,3284684947200000000000
