,block,price,ts,started_at
0,12000000,176975000000,1615234693,1615234667
1,12000100,177228000000,1615236211,1615236198
2,12000200,177348099832,1615237426,1615237370
3,12000300,178670715112,1615238422,1615238347
4,12000400,178940764062,1615240348,1615240318
5,12000500,179223879155,1615240599,1615240544
6,12000600,177695000000,1615242643,1615242575
7,12000700,178807000000,1615244162,1615244099
8,12000800,179345899875,1615245137,1615244940
9,12000900,181890366085,1615246569,1615246504
10,12001000,183608341673,1615247803,1615247697
11,12001100,181566112712,1615249542,1615249532
12,12001200,181731000000,1615250533,1615250504
13,12001300,181690893251,1615251824,1615251791
14,12001400,183873353904,1615253615,1615253570
15,12001500,184354711807,1615255016,1615254895
16,12001600,183521000000,1615255973,1615255879
17,12001700,183521000000,1615255973,1615255879
18,12001800,184268488041,1615258941,1615258862
19,12001900,184858928402,1615260204,1615260160
20,12002000,185577000000,1615261477,1615260919
21,12002100,183475155793,1615263206,1615263061
22,12002200,183550757302,1615264177,1615264106
23,12002300,184386000000,1615265766,1615265697
24,12002400,184790386406,1615266757,1615266662
25,12002500,184285887401,1615267466,1615267435
26,12002600,184486000000,1615270069,1615269955
27,12002700,184486000000,1615270069,1615269955
28,12002800,183701671504,1615271853,1615271790
29,12002900,182730000000,1615273633,1615273519
30,12003000,181925020756,1615275372,1615275326
31,12003100,182346062260,1615276552,1615276491
32,12003200,181484100487,1615276827,1615276800
33,12003300,182225516415,1615278949,1615278857
34,12003400,182962000000,1615280121,1615280098
35,12003500,182962000000,1615280121,1615280098
36,12003600,183805422627,1615282653,1615282626
37,12003700,182921006163,1615283767,1615283686
38,12003800,182921006163,1615283767,1615283686
39,12003900,182204644123,1615286338,1615286228
40,12004000,183031000000,1615288438,1615288384
41,12004100,182311786708,1615289740,1615289639
42,12004200,182905185294,1615290989,1615290872
43,12004300,182266356971,1615291949,1615291663
44,12004400,181757299761,1615293748,1615293705
45,12004500,180512850074,1615294900,1615294586
46,12004600,182123142785,1615296544,1615296403
47,12004700,183755899801,1615298155,1615298063
48,12004800,182809749693,1615299891,1615299774
49,12004900,182809749693,1615299891,1615299774
50,12005000,183309540901,1615301746,1615301701
51,12005100,181967484615,1615303483,1615303444
52,12005200,182507000000,1615303995,1615303949
53,12005300,183216475837,1615306255,1615306224
54,12005400,182694881034,1615307075,1615306950
55,12005500,183251808671,1615308098,1615308037
56,12005600,183332914823,1615308955,1615308886
57,12005700,182622089147,1615311211,1615311131
58,12005800,181952203952,1615312520,1615312499
59,12005900,181952203952,1615312520,1615312499
60,12006000,181952203952,1615312520,1615312499
61,12006100,182121680155,1615316152,1615316079
62,12006200,182121680155,1615316152,1615316079
63,12006300,182912925618,1615319313,1615319280
64,12006400,183036000000,1615319708,1615319685
65,12006500,183036000000,1615319708,1615319685
66,12006600,183714120624,1615323323,1615323288
67,12006700,183714120624,1615323645,1615323288
68,12006800,182160695660,1615325692,1615325668
69,12006900,182834168775,1615326916,1615326883
70,12007000,182834168775,1615326916,1615326883
71,12007100,183336688982,1615329998,1615329964
72,12007200,183933944154,1615330557,1615330468
73,12007300,186362471671,1615332698,1615332676
74,12007400,186554079442,1615334209,1615334095
75,12007500,186988221225,1615334816,1615334783
76,12007600,186988221225,1615334816,1615334783
77,12007700,186993180614,1615337768,1615337692
78,12007800,186420066962,1615338931,1615338926
