,block,price,ts,started_at
0,12000000,176975000000,1615234693,1615234667
1,12010000,182034477317,1615366634,1615366476
2,12020000,183576763843,1615501891,1615501847
3,12030000,187999718508,1615635529,1615635448
4,12040000,187413441308,1615768046,1615767976
5,12050000,178402713365,1615902578,1615902515
6,12060000,184658447526,1616035097,1616035083
7,12070000,181679940967,1616165928,1616165799
8,12080000,178275495685,1616299737,1616299652
9,12090000,177870000000,1616434362,1616434288
10,12100000,167144493787,1616567660,1616567636
11,12110000,160997630538,1616700490,1616700415
12,12120000,169187000000,1616832030,1616832000
13,12130000,167226000000,1616964993,1616964889
14,12140000,184035345611,1617098751,1617098665
15,12150000,191516591152,1617231377,1617231320
16,12160000,200509000000,1617364617,1617364541
17,12170000,201684197221,1617496608,1617496588
18,12180000,206278972985,1617627747,1617627557
19,12190000,210906869905,1617762596,1617762596
20,12200000,204407627965,1617893714,1617893714
21,12210000,217689000000,1618028677,1618028677
22,12220000,214219676359,1618160136,1618160136
23,12230000,216317765146,1618293405,1618293405
24,12240000,234370318178,1618426532,1618426532
25,12250000,244293561573,1618560738,1618560738
26,12260000,239174020288,1618692924,1618692924
27,12270000,221856978923,1618827219,1618827219
28,12280000,232905302444,1618959895,1618959895
29,12290000,258177921693,1619093540,1619093540
30,12300000,228358000000,1619227427,1619227427
31,12310000,232069000000,1619358912,1619358912
32,12320000,249445000000,1619494017,1619494017
33,12330000,269540378966,1619627088,1619627088
34,12340000,276279000000,1619758530,1619758530
35,12350000,293004214707,1619891715,1619891715
36,12360000,314318626092,1620028547,1620028547
37,12370000,337596982988,1620160342,1620160342
38,12380000,345611456204,1620293204,1620293204
39,12390000,345363955291,1620428162,1620428162
40,12400000,389820915198,1620560503,1620560503
41,12410000,394540072177,1620694139,1620694139
42,12420000,430959804906,1620828026,1620828026
43,12430000,381623280926,1620960934,1620960934
44,12440000,382541299337,1621094848,1621094848
45,12450000,329710342257,1621228604,1621228604
46,12460000,336881677293,1621361170,1621361170
47,12470000,275865527963,1621496336,1621496336
48,12480000,226377573296,1621630581,1621630581
49,12490000,210410126566,1621765225,1621765225
50,12500000,260542759415,1621897611,1621897611
51,12510000,285130615435,1622032483,1622032483
52,12520000,271601968824,1622165762,1622165762
53,12530000,233520499252,1622301358,1622301358
54,12540000,229834980212,1622434399,1622434399
55,12550000,254661616689,1622566536,1622566536
56,12560000,283229498934,1622702531,1622702531
57,12570000,268982291362,1622835319,1622835319
58,12580000,271560805536,1622969734,1622969734
59,12590000,261326806963,1623102925,1623102925
60,12600000,250419381903,1623236141,1623236141
61,12610000,248975474874,1623370333,1623370333
62,12620000,243657652443,1623502505,1623502505
63,12630000,249859218242,1623635741,1623635741
64,12640000,254615672535,1623772505,1623772505
65,12650000,242543770556,1623905724,1623905724
66,12660000,220088525250,1624040188,1624040188
67,12670000,218967017191,1624175095,1624175095
68,12680000,191172775896,1624310250,1624310250
69,12690000,200905527830,1624445702,1624445702
70,12700000,199557638221,1624579524,1624579524
71,12710000,176626897920,1624714779,1624714779
72,12720000,197168000000,1624848895,1624848895
73,12730000,221718000000,1624982137,1624982137
74,12740000,221162283398,1625118582,1625118582
75,12750000,209940608358,1625252150,1625252150
76,12760000,233609706038,1625386314,1625386314
77,12770000,222918238612,1625519576,1625519576
78,12780000,238870142061,1625656475,1625656475
79,12790000,209790329759,1625790652,1625790652
80,12800000,210184796928,1625924152,1625924152
81,12810000,215305026125,1626058502,1626058502
82,12820000,199389000000,1626195318,1626195318
83,12830000,196075000000,1626328517,1626328517
84,12840000,191154000000,1626465312,1626465312
85,12850000,196026644090,1626602627,1626602627
86,12860000,182391702018,1626735315,1626735315
87,12870000,190833276816,1626872109,1626872109
88,12880000,206408646739,1627005334,1627005334
89,12890000,216126860478,1627142186,1627142186
90,12900000,233461317407,1627275328,1627275328
