,block,price,ts,started_at
0,12000000,176975000000,1615234693,1615234667
1,12000275,178670715112,1615238422,1615238347
2,12000550,179223879155,1615240599,1615240544
3,12000825,181166000000,1615245812,1615245789
4,12001100,181566112712,1615249542,1615249532
5,12001375,183577000000,1615253322,1615253305
6,12001650,183521000000,1615255973,1615255879
7,12001925,184858928402,1615260204,1615260160
8,12002200,183550757302,1615264177,1615264106
9,12002475,184285887401,1615267466,1615267435
10,12002750,183763158486,1615271851,1615271790
11,12003025,181925020756,1615275620,1615275326
12,12003300,182225516415,1615278949,1615278857
13,12003575,183805422627,1615282653,1615282626
14,12003850,182204644123,1615286338,1615286228
15,12004125,182612686986,1615290149,1615290130
16,12004400,181757299761,1615293748,1615293705
17,12004675,183868232575,1615297890,1615297848
18,12004950,183309540901,1615301746,1615301701
19,12005225,182507000000,1615303995,1615303949
20,12005500,183251808671,1615308098,1615308037
21,12005775,181905475601,1615312234,1615312186
22,12006050,182121680155,1615316152,1615316079
23,12006325,183036000000,1615319708,1615319685
24,12006600,183714120624,1615323323,1615323288
25,12006875,182834168775,1615326916,1615326883
26,12007150,183933944154,1615330557,1615330468
27,12007425,187089000000,1615334587,1615334501
28,12007700,186993180614,1615337768,1615337692
29,12007975,181269382431,1615341944,1615341900
30,12008250,179725199439,1615344927,1615344899
31,12008525,177376066685,1615348865,1615348849
32,12008800,179185150203,1615352153,1615352100
33,12009075,180183000000,1615355804,1615355696
34,12009350,181001566166,1615359364,1615359298
35,12009625,181230956224,1615363249,1615363179
36,12009900,182034477317,1615366634,1615366476
37,12010175,183173000000,1615370160,1615370090
38,12010450,181100208859,1615374392,1615374294
39,12010725,182368069067,1615378070,1615377916
40,12011000,182633429450,1615381824,1615381767
41,12011275,183681785710,1615385434,1615385377
42,12011550,184634985688,1615388932,1615388859
43,12011825,183245705757,1615391766,1615391697
44,12012100,184013673827,1615395441,1615395389
45,12012375,185188286710,1615399081,1615398994
46,12012650,184932579566,1615403693,1615403591
47,12012925,181910844155,1615407656,1615407624
48,12013200,178977974859,1615411523,1615411498
49,12013475,182044073207,1615414333,1615414290
50,12013750,181933203293,1615418174,1615418079
51,12014025,178957580852,1615422011,1615421887
52,12014300,177333089895,1615425455,1615425398
