,block,price,ts,started_at
0,12000000,176975000000,1615234693,1615234667
1,12046200,180800314991,1615851407,1615851235
2,12092400,170660714633,1616465773,1616465694
3,12138600,180720074564,1617080177,1617080083
4,12184800,212187460399,1617694345,1617694288
5,12231000,220206215061,1618306306,1618306306
6,12277200,218338776258,1618923455,1618923455
7,12323400,265880259629,1619538953,1619538953
8,12369600,337044472395,1620155909,1620155909
9,12415800,411601514393,1620770410,1620770410
10,12462000,322868000000,1621388370,1621388370
11,12508200,282975675157,1622006981,1622006981
12,12554400,268919817619,1622627702,1622627702
13,12600600,254516006704,1623243536,1623243536
14,12646800,239750329707,1623862541,1623862541
15,12693000,194277871801,1624485325,1624485325
16,12739200,221122899626,1625106800,1625106800
17,12785400,221951323622,1625727332,1625727332
18,12831600,189978694743,1626352662,1626352662
19,12877800,202806000000,1626976503,1626976503
20,12924000,238964727003,1627606530,1627606530
21,12970200,277845735325,1628232931,1628232931
22,13016400,323774175570,1628852106,1628852106
23,13062600,325461538577,1629467734,1629467734
24,13108800,323715020720,1630083657,1630083657
25,13155000,392287981961,1630700947,1630700947
26,13201200,321015000000,1631318109,1631318109
27,13247400,344715174817,1631937305,1631937305
28,13293600,291688167584,1632554899,1632554899
29,13339800,329616286923,1633175730,1633175730
30,13386000,359358688721,1633802116,1633802116
31,13432200,381604141370,1634429266,1634429266
32,13478400,410556501623,1635051328,1635051328
33,13524600,422051002955,1635680577,1635680577
34,13570800,460602838181,1636304127,1636304127
35,13617000,460438037741,1636933310,1636933310
36,13663200,420058665546,1637564666,1637564666
37,13709400,432144640229,1638197742,1638197742
38,13755600,435928801461,1638838508,1638838508
39,13801800,372344089088,1639464936,1639464936
40,13848000,402471341786,1640080509,1640080509
41,13894200,390499223932,1640700406,1640700406
42,13940400,385813942045,1641315309,1641315309
43,13986600,323918107674,1641934528,1641934528
44,14032800,316526905042,1642550234,1642550234
45,14079000,248166562398,1643169322,1643169322
46,14125200,275179377219,1643784941,1643784941
47,14171400,313613252326,1644402599,1644402599
48,14217600,307527732269,1645019708,1645019708
49,14263800,267824653813,1645638973,1645638973
50,14310000,294714000000,1646254562,1646254562
51,14356200,271092313643,1646873728,1646873728
52,14402400,276328350127,1647496512,1647496512
53,14448600,305920334883,1648119448,1648119448
54,14494800,337331630000,1648738532,1648738532
55,14541000,323779900000,1649364051,1649364051
56,14587200,302559900000,1649987727,1649987727
57,14633400,299682399502,1650612269,1650612269
58,14679600,287437974383,1651240614,1651240614
59,14725800,270224000000,1651870549,1651870549
60,14772000,203441234565,1652507725,1652507725
61,14818200,197937000000,1653148509,1653148509
