,block,price
0,12000000,3022808657486628987514678542
1,12000100,3022729688040231322195292376
2,12000200,3022646578819525238014811061
3,12000300,3022555896833460474899965117
4,12000400,3022464896015094437095750960
5,12000500,3022382450996147376184186366
6,12000600,3022305217102101957679003868
7,12000700,3022221104498517761134707260
8,12000800,3022136158289318913653488304
9,12000900,3022043755472515192110108689
10,12001000,3021943832432745184643990281
11,12001100,3021857608063763441569533587
12,12001200,3021768299957786740257726624
13,12001300,3021695362864170442963394647
14,12001400,3021611660981119135104713644
15,12001500,3021519528179999467468998341
16,12001600,3021430378260898468635874569
17,12001700,3021354545833972721248235453
18,12001800,3021275418374186817230759800
19,12001900,3021182915421659047078620614
20,12002000,3021089400922270892197740437
21,12002100,3021001658424188363716206018
22,12002200,3020915693534872810908282384
23,12002300,3020822631058323483949091380
24,12002400,3020734810425763298784246581
25,12002500,3020638182806545984464772313
26,12002600,3020538785112355901126734330
27,12002700,3020455518343001325390685182
28,12002800,3020364372688064087064851051
29,12002900,3020248492512202092210828304
30,12003000,3020151807480711213637673881
31,12003100,3020058336064608373628934227
32,12003200,3019972966572944079882198145
33,12003300,3019867753818508535813090647
34,12003400,3019766265654246444371546505
35,12003500,3019672270129397552555770957
36,12003600,3019600809318708239532456515
37,12003700,3019525079547742062938721855
38,12003800,3019447066035087354338454007
39,12003900,3019360633988077210625172660
40,12004000,3019268731227002398711326991
41,12004100,3019181762996555551354467010
42,12004200,3019093414019158751838794048
43,12004300,3019013727744551068896823986
44,12004400,3018922316646268229371362630
45,12004500,3018841913251116818270426752
46,12004600,3018765094439775769402431225
47,12004700,3018701296210107658310268870
48,12004800,3018629836130396314866494795
49,12004900,3018575236405269316287128712
50,12005000,3018512256370005168687758708
51,12005100,3018447026722595125621361081
52,12005200,3018387832755989554508461869
53,12005300,3018328400499480883185919526
54,12005400,3018269591972903166959069485
55,12005500,3018204415457616975765273416
56,12005600,3018141395272040796714665127
57,12005700,3018076317297325720482139418
58,12005800,3018031295086284091241320303
59,12005900,3017989592935176157266713080
60,12006000,3017940016743345388236666355
61,12006100,3017892803710018150958436955
62,12006200,3017855040662444945566491166
63,12006300,3017807520835223570073952931
64,12006400,3017759111636560137191142813
65,12006500,3017713613175442886494373257
66,12006600,3017672223523382869905417812
67,12006700,3017632135327971043435036340
68,12006800,3017576916508091513245116040
69,12006900,3017543988744924284292882900
70,12007000,3017511839330827517008604691
71,12007100,3017479127428420646278342212
72,12007200,3017453777636445411973308546
73,12007300,3017420863748290921676386691
74,12007400,3017387184792517269401708769
75,12007500,3017354924487510509560296443
76,12007600,3017323812642893810367172776
77,12007700,3017296775764933326836403511
78,12007800,3017261297265143220350414839
79,12007900,3017235251449310054629715673
80,12008000,3017200944252820513172292692
81,12008100,3017172731282044870882869231
82,12008200,3017132794202607714575826536
83,12008300,3017088558374232751391524957
84,12008400,3017036765996223626272241903
85,12008500,3016989978963859043382207175
86,12008600,3016945476537450583628541663
87,12008700,3016897381068286022154004009
88,12008800,3016856137798972132062995042
89,12008900,3016814659998245692197383502
90,12009000,3016778455550057950655200936
91,12009100,3016734997352094557190271017
92,12009200,3016691741282148217133176539
93,12009300,3016659625829089093461161080
94,12009400,3016632670955271761636680667
95,12009500,3016604788311061674456290239
96,12009600,3016578719748229144711783930
97,12009700,3016550394696253202078521294
98,12009800,3016525043683918578137468159
99,12009900,3016494799909632683196032345
100,12010000,3016466538916230415751449523
101,12010100,3016437265867904655339627246
102,12010200,3016410544968776097335486751
103,12010300,3016379416579730305923724515
104,12010400,3016355858917149930059215881
105,12010500,3016340221938173571021306177
106,12010600,3016324326884607020950634315
107,12010700,3016306440439570768458992129
108,12010800,3016290311997255166517794299
109,12010900,3016275228539684781778392880
110,12011000,3016257428435766871878055462
111,12011100,3016240095562593734506462998
112,12011200,3016222578398350910163948472
113,12011300,3016208490984281145764151874
114,12011400,3016191010881332811110537624
