,block,price
0,12000000,3022808657486628987514678542
1,12000275,3022574225951693337830830920
2,12000550,3022342258257112740097556937
3,12000825,3022110372667931165365910820
4,12001100,3021857608063763441569533587
5,12001375,3021631127803064019825382566
6,12001650,3021387643030386478906683319
7,12001925,3021159267074812522713108765
8,12002200,3020915693534872810908282384
9,12002475,3020673724479317696316614019
10,12002750,3020408741086050787568103881
11,12003025,3020129114310497822319854504
12,12003300,3019867753818508535813090647
13,12003575,3019623306058196587750438696
14,12003850,3019402556529999589555625523
15,12004125,3019168170677908714469008452
16,12004400,3018922316646268229371362630
17,12004675,3018723376375762389057995771
18,12004950,3018544919615902378704055036
19,12005225,3018375955789248833341619089
20,12005500,3018204415457616975765273416
21,12005775,3018042799229374990989426329
22,12006050,3017916495727237735033781867
23,12006325,3017794579686264979944150889
24,12006600,3017672223523382869905417812
25,12006875,3017552566482621763864286234
26,12007150,3017466069782512121866562887
27,12007425,3017378607524936126307513286
28,12007700,3017296775764933326836403511
29,12007975,3017212987745212089622105258
30,12008250,3017112271653365150128935713
31,12008525,3016980541035941082173888913
32,12008800,3016856137798972132062995042
33,12009075,3016744837522925547196300085
34,12009350,3016645663258750025363100882
35,12009625,3016573130643939727768335995
36,12009900,3016494799909632683196032345
37,12010175,3016418495835097267108553486
38,12010450,3016348409214225354603977219
39,12010725,3016303195075344836327918253
40,12011000,3016257428435766871878055462
41,12011275,3016211465807950207852611237
42,12011550,3016181772839650764763505740
43,12011825,3016188082370086341465887067
44,12012100,3016194957272668935318510233
45,12012375,3016201388238162751801348404
46,12012650,3016216868737498351043389296
47,12012925,3016284080141037068127798929
48,12013200,3016353519730939642011541465
49,12013475,3016412545537137363003704594
50,12013750,3016475343654728357328698651
51,12014025,3016551025715112648739949601
52,12014300,3016625987287965679091741260
53,12014575,3016701583420496032371317440
54,12014850,3016782120693329907199736610
55,12015125,3016869933493411537235143956
56,12015400,3016964668597906423862070131
57,12015675,3017069370955324043976103206
58,12015950,3017164586827664110823763330
59,12016225,3017274725189343071437347010
60,12016500,3017379425801319203449255838
61,12016775,3017482330679310757817829611
62,12017050,3017582097210058480988167791
63,12017325,3017717805313761344115115133
64,12017600,3017851575040740421272872608
65,12017875,3017984047175555371053029952
66,12018150,3018125687436437580490545494
67,12018425,3018214203227826832985658608
68,12018700,3018279013867662330224466537
69,12018975,3018347808502066958116641924
70,12019250,3018417095721874518322442504
71,12019525,3018459669507341875431490265
72,12019800,3018491693427242656948331681
73,12020075,3018520813324756442418279989
74,12020350,3018554273104727326004597792
75,12020625,3018546710014296291554951282
76,12020900,3018522275610688227992005408
77,12021175,3018495316716044354670270180
78,12021450,3018469084532881492625935097
79,12021725,3018421998719398716974641475
80,12022000,3018358811365211108717898313
81,12022275,3018296305709052896735008728
82,12022550,3018223918220980606842626239
83,12022825,3018180737069437083704927335
84,12023100,3018163719239444239708186634
85,12023375,3018148553304557571501084808
86,12023650,3018130854094776046735553905
87,12023925,3018125700686951734884558462
88,12024200,3018128923615222369918340593
89,12024475,3018132203552357562317515392
90,12024750,3018135197614815520085597118
91,12025025,3018161372304634459421081355
92,12025300,3018199460949536194045821138
93,12025575,3018241650551014317034524671
94,12025850,3018284622925506134032832878
95,12026125,3018327050255025050377479042
96,12026400,3018364443778772787611818293
97,12026675,3018402057362711869065907320
98,12026950,3018437538162152825045052641
99,12027225,3018474339844885684204861645
100,12027500,3018491825686785168831378881
101,12027775,3018510038051175637564023259
102,12028050,3018527840142148784162009519
103,12028325,3018543595676580923398893674
104,12028600,3018550497928504752160667293
105,12028875,3018557233698010716919937780
106,12029150,3018563199889266201357665299
107,12029425,3018569497240053273855873705
108,12029700,3018546127712099729352189261
109,12029975,3018523726748309908903936391
110,12030250,3018496814510125667667042794
111,12030525,3018472821652555752640914848
112,12030800,3018409386450150372654019997
113,12031075,3018327952826589672119671557
114,12031350,3018241554081760184315291793
115,12031625,3018156266984600871192563649
116,12031900,3018049149533446313657619204
117,12032175,3017921190584926028960449210
118,12032450,3017796002854965901239007139
119,12032725,3017670491070383541572326118
120,12033000,3017526781067589032253210632
121,12033275,3017334625323406840319233455
122,12033550,3017148696233943270225349219
123,12033825,3016981318914106126122137318
124,12034100,3016775838681245608818630281
125,12034375,3016569447946063870859995225
126,12034650,3016362088098731579003538013
127,12034925,3016157801240891517053699144
128,12035200,3015969279280164451081302117
129,12035475,3015821870617143384949501608
130,12035750,3015680843574437248267170792
131,12036025,3015527364636716294395423511
132,12036300,3015374465815688485235853291
133,12036575,3015242007482562370263676573
134,12036850,3015116813903180648318535641
135,12037125,3014997164111993419526595602
136,12037400,3014879065811467765701737745
137,12037675,3014806160157460444861332025
138,12037950,3014725537373126525617087624
139,12038225,3014653671362272576121651255
140,12038500,3014578961006943837518467049
141,12038775,3014534658921724238091083860
142,12039050,3014488279102463470538647933
143,12039325,3014447568235946341590896996
144,12039600,3014406719364018807675122541
145,12039875,3014357144678378074391348540
146,12040150,3014304053960362289179785596
147,12040425,3014249761639748851092038055
148,12040700,3014199446800642444651661563
149,12040975,3014137160337617669185065585
150,12041250,3014071695606562709784990921
151,12041525,3014011459743189102823235702
152,12041800,3013947244786920295633089495
153,12042075,3013889902470979751833090044
154,12042350,3013842220990122693371217934
155,12042625,3013792735629418625135713873
156,12042900,3013745042117337775801471052
157,12043175,3013719703851249230119363806
158,12043450,3013709895823895040775177022
159,12043725,3013701085637565405635090449
160,12044000,3013691237047657746407926261
161,12044275,3013693705896126378394369186
162,12044550,3013708444902410568185077999
163,12044825,3013723292772590393592658724
164,12045100,3013739232991312846811678434
165,12045375,3013766603375536126431653619
166,12045650,3013820613992837136802323662
167,12045925,3013876042938016118606577372
168,12046200,3013934856342876321759895019
169,12046475,3013987290237096583705935730
170,12046750,3014026769515733175229020983
171,12047025,3014066809231277065170822389
172,12047300,3014107580812393822597245736
173,12047575,3014153215765244849286905009
174,12047850,3014189495523940698335793125
175,12048125,3014227954516688845168954927
176,12048400,3014263968983772624640910291
177,12048675,3014298574037229259241566237
178,12048950,3014328493354511196783383467
179,12049225,3014358764097643045250637315
180,12049500,3014386887760692999496708207
181,12049775,3014416820431424692973179097
182,12050050,3014434763472186861911349448
183,12050325,3014453206007702506228751944
184,12050600,3014472042882158306431301482
185,12050875,3014490273368850754063571615
186,12051150,3014504964745264611970747665
187,12051425,3014518196339359802129219207
188,12051700,3014531485041035294426091877
189,12051975,3014544123434156236767930284
190,12052250,3014558304776551006110796009
191,12052525,3014570395992771040688230236
192,12052800,3014584829687555300530922646
193,12053075,3014600468458008854486459798
194,12053350,3014618912116300103575835984
195,12053625,3014646126019186185101403631
196,12053900,3014671339014680753885431855
197,12054175,3014696708340625974636601441
198,12054450,3014729297681363309016551528
199,12054725,3014772015785025140635468809
200,12055000,3014817305261985859912553975
201,12055275,3014857970429085792531992183
202,12055550,3014907085286949661547156966
203,12055825,3014961087890312205972689606
204,12056100,3015020601462517752925052416
205,12056375,3015074651763022807825925650
206,12056650,3015130953650505318149364917
207,12056925,3015191680209403082198189183
208,12057200,3015250253327523370985228027
209,12057475,3015314297224046903362424929
210,12057750,3015375126925699995294746615
211,12058025,3015437147998460502594902776
212,12058300,3015497409748337637991185764
213,12058575,3015555735073801589964669961
214,12058850,3015615112464823866329160136
215,12059125,3015646106760788591261193880
216,12059400,3015675705106109043082030276
217,12059675,3015703140481570437025685987
218,12059950,3015736584344451590900228175
219,12060225,3015759416103098040258146399
220,12060500,3015778029612389584599663032
221,12060775,3015798681748798846368942873
222,12061050,3015818205751271649853712550
223,12061325,3015820445140372347291882659
224,12061600,3015817381805684290030753690
225,12061875,3015814250246572195990094532
226,12062150,3015811104872491316098369960
227,12062425,3015812265921250510754377672
228,12062700,3015814860735159030018243695
229,12062975,3015817711150517119036764511
230,12063250,3015820870552753824452761022
231,12063525,3015837561136750132838397125
232,12063800,3015870679079828743712559333
233,12064075,3015903947483712959079348447
234,12064350,3015933993547085684894168736
235,12064625,3015966429174112444601005129
236,12064900,3016001941462767574275016055
237,12065175,3016037512820135014451001700
238,12065450,3016074765933508155172980516
239,12065725,3016114283862036717809194488
240,12066000,3016171433212893424250568705
241,12066275,3016232264240575702838223582
242,12066550,3016284341210912539609184042
243,12066825,3016341610968320911122824649
244,12067100,3016408446115306907638173585
245,12067375,3016472036461544997898459227
246,12067650,3016537900593062207440959523
247,12067925,3016604505625517368996950017
248,12068200,3016659476742797340683683531
249,12068475,3016710486706904716218291250
250,12068750,3016761693730713319406747159
251,12069025,3016812004707345526417679734
252,12069300,3016864097125965774530223646
253,12069575,3016912374823615516387341616
254,12069850,3016959526648300850085487825
255,12070125,3017007305133845761182564449
256,12070400,3017049470979034391339185312
257,12070675,3017084374705306593528803076
258,12070950,3017117054353330745126347768
259,12071225,3017155224019365714571644651
260,12071500,3017181612131226270627263484
261,12071775,3017200825886822414354985329
262,12072050,3017217359888477947559945363
263,12072325,3017234661759480679947346144
264,12072600,3017252507271536475676683983
265,12072875,3017271094014844153713591513
266,12073150,3017288688583323293654386423
267,12073425,3017306381990218809386200254
268,12073700,3017322197097340094685890702
269,12073975,3017335026231954875647354334
270,12074250,3017348432754181803018713299
271,12074525,3017362595718899148225369360
272,12074800,3017375268824857554211981449
273,12075075,3017391346562167103543412118
274,12075350,3017406644026581704306120127
275,12075625,3017422098466818997926641280
276,12075900,3017436926443889639717469358
277,12076175,3017450052732775711646996083
278,12076450,3017464125251148129633565214
279,12076725,3017477682380589781394234319
280,12077000,3017489042754705273609464896
281,12077275,3017496309277702941280409917
282,12077550,3017503535984259751567728746
283,12077825,3017510836086610041988725093
284,12078100,3017519146735825824679902620
285,12078375,3017529983036479984573500087
286,12078650,3017540601652252433255614858
287,12078925,3017552319973871259570328824
288,12079200,3017563432271306741266608013
289,12079475,3017583597884440895837368222
290,12079750,3017611332910535143388171820
291,12080025,3017637032565922722264028539
292,12080300,3017664740574444683791483976
293,12080575,3017714415018721577206881022
294,12080850,3017769417775034842330620108
295,12081125,3017826923700820706643581629
296,12081400,3017874552048960948787045411
297,12081675,3017944683885496767188067112
298,12081950,3018025377889475228219956662
299,12082225,3018097961096223949997117512
300,12082500,3018175323332214683160619524
301,12082775,3018268506225917029977975152
302,12083050,3018353607538636305275744661
303,12083325,3018433463037016304637056378
304,12083600,3018520392374241244668883222
305,12083875,3018609448709513965544890329
306,12084150,3018689948312530704958789986
307,12084425,3018768849216601786495106786
308,12084700,3018853125028019969723353738
309,12084975,3018915049486189331147471973
310,12085250,3018980091223177593658372502
311,12085525,3019036460812638512778594597
312,12085800,3019091871208675967686752300
313,12086075,3019152877745895069334200822
314,12086350,3019211722912018598207727228
315,12086625,3019271397834373263933893439
316,12086900,3019330526730543674996693864
317,12087175,3019383119077682000437554146
318,12087450,3019433409061815884931500975
319,12087725,3019488086486431747577199803
320,12088000,3019533358849826856061033769
321,12088275,3019588368002458046652294585
322,12088550,3019644569536344623153370754
323,12088825,3019704808892033117309456777
324,12089100,3019762617983233991414076138
325,12089375,3019824445095854845325863424
326,12089650,3019884156316401392753247915
327,12089925,3019951961021257309366866119
328,12090200,3020019379252148463354446139
329,12090475,3020086928323106580090168645
330,12090750,3020155442018883525234892671
331,12091025,3020217910452320851951646758
332,12091300,3020290892037509751572787252
333,12091575,3020359201245473920374731429
334,12091850,3020455736755450830124251195
335,12092125,3020560191679030208111698437
336,12092400,3020661356669410869635792367
337,12092675,3020762113341297478314324452
