,block,price
0,12000000,3022808657486628987514678542
1,12046200,3013934856342876321759895019
2,12092400,3020661356669410869635792367
3,12138600,3033565612889619831814130891
4,12184800,3029971426273238692362372688
5,12231000,3023487843375207981429944993
6,12277200,3016318683742784996557909486
7,12323400,3016365722717387884984276506
8,12369600,3006618732733732680665815484
9,12415800,3004447748874390802303689456
10,12462000,3006532824136091137454695151
11,12508200,3006694565360413985747556832
12,12554400,3007221750043481125565082526
13,12600600,3008249645674133147795996472
14,12646800,3010696821787341383122625835
15,12693000,3015105761043750586764639946
16,12739200,3016717298329040845985510674
17,12785400,3017617835553205291205049264
18,12831600,3020747396381918461202893941
19,12877800,3023286678495632238222007006
20,12924000,3024923595022965167433472819
21,12970200,3025834691630409132915518269
22,13016400,3025572484033311269665763352
23,13062600,3026282909190665920143301037
24,13108800,3027583017480347484239323569
25,13155000,3027381184374591113205020610
26,13201200,3029108709733574386773816736
27,13247400,3030366073401359452069486097
28,13293600,3032188713761219358057260191
29,13339800,3033149437110502529587036674
30,13386000,3032080754115041775875645915
31,13432200,3030568548945187730218515397
32,13478400,3029630313352840729923094550
33,13524600,3028910489959990370874540751
34,13570800,3028449352095843025849872381
35,13617000,3027481376492858879142982282
36,13663200,3027971074398300591362430068
37,13709400,3028872451834101905466590573
38,13755600,3030643932112414131716836425
39,13801800,3033002796042178076370136942
40,13848000,3035505948284462276689998648
41,13894200,3037752016160531066216131080
42,13940400,3039449903407576598358576228
43,13986600,3038406549828805464173520010
44,14032800,3035302027794309431518492100
45,14079000,3032554177779460481874979404
46,14125200,3028062236637517298382113898
47,14171400,3024864514248983640631446063
48,14217600,3022818735654713672582279015
49,14263800,3021411545252493154248209962
50,14310000,3019884268113119015739928024
51,14356200,3019075775093839034701616925
52,14402400,3018179953377487404843471401
53,14448600,3017562601320925429040162533
54,14494800,3016608306001973261374840811
55,14541000,3015459358434759018449552212
56,14587200,3014185211366593593429161052
57,14633400,3012679217601157599990382207
58,14679600,3010574096687591996058560718
59,14725800,3008493556548704537696243523
60,14772000,3006493884416833714425931289
61,14818200,2998884611087485705311248631
