Answer,RAI / USD
Sun Oct 31 2021 02:40:00 GMT-0400,3.03
Sun Oct 31 2021 15:05:00 GMT-0400,3.02549863
Mon Nov 01 2021 03:30:00 GMT-0400,3.02549863
Mon Nov 01 2021 15:55:00 GMT-0400,3.03886261
Tue Nov 02 2021 04:20:00 GMT-0400,3.03
Tue Nov 02 2021 16:45:00 GMT-0400,3.03
Wed Nov 03 2021 05:10:00 GMT-0400,3.03159506
Wed Nov 03 2021 17:35:00 GMT-0400,3.03159506
Thu Nov 04 2021 06:00:00 GMT-0400,3.03650288
Thu Nov 04 2021 18:25:00 GMT-0400,3.03650288
Fri Nov 05 2021 06:50:00 GMT-0400,3.0296309
Fri Nov 05 2021 19:15:00 GMT-0400,3.0296309
Sat Nov 06 2021 20:05:00 GMT-0400,3.03196964
Sun Nov 07 2021 07:30:00 GMT-0500,3.03794747
Sun Nov 07 2021 19:55:00 GMT-0500,3.03794747
Mon Nov 08 2021 08:20:00 GMT-0500,3.03
Mon Nov 08 2021 20:45:00 GMT-0500,3.03
Tue Nov 09 2021 09:10:00 GMT-0500,3.03
Tue Nov 09 2021 21:35:00 GMT-0500,3.03
Wed Nov 10 2021 10:00:00 GMT-0500,3.0333245
Wed Nov 10 2021 22:25:00 GMT-0500,3.0333245
Thu Nov 11 2021 10:50:00 GMT-0500,3.0292775
Thu Nov 11 2021 23:15:00 GMT-0500,3.0292775
Fri Nov 12 2021 11:40:00 GMT-0500,3.02502716
Sat Nov 13 2021 00:05:00 GMT-0500,3.02502716
Sat Nov 13 2021 12:30:00 GMT-0500,3.02759999
Sun Nov 14 2021 00:55:00 GMT-0500,3.02759999
Sun Nov 14 2021 13:20:00 GMT-0500,3.02075293
Mon Nov 15 2021 01:45:00 GMT-0500,3.02075293
Mon Nov 15 2021 14:10:00 GMT-0500,3.02214192
Tue Nov 16 2021 02:35:00 GMT-0500,3.02214192
Tue Nov 16 2021 15:00:00 GMT-0500,3.02636619
Thu Nov 18 2021 04:15:00 GMT-0500,3.02042366
Thu Nov 18 2021 16:40:00 GMT-0500,3.02042366
Fri Nov 19 2021 05:05:00 GMT-0500,3.0210077
Fri Nov 19 2021 17:30:00 GMT-0500,3.0210077
Sat Nov 20 2021 05:55:00 GMT-0500,3.02674989
Sat Nov 20 2021 18:20:00 GMT-0500,3.02674989
Sun Nov 21 2021 06:45:00 GMT-0500,3.02197757
Sun Nov 21 2021 19:10:00 GMT-0500,3.02197757
Mon Nov 22 2021 07:35:00 GMT-0500,3.03
Mon Nov 22 2021 20:00:00 GMT-0500,3.03
Tue Nov 23 2021 08:25:00 GMT-0500,3.01972303
Tue Nov 23 2021 20:50:00 GMT-0500,3.01972303
Wed Nov 24 2021 09:15:00 GMT-0500,3.02854538
Wed Nov 24 2021 21:40:00 GMT-0500,3.02854538
Thu Nov 25 2021 10:05:00 GMT-0500,3.02638689
Thu Nov 25 2021 22:30:00 GMT-0500,3.02638689
Fri Nov 26 2021 10:55:00 GMT-0500,2.99100654
Fri Nov 26 2021 23:20:00 GMT-0500,2.99100654
Sat Nov 27 2021 11:45:00 GMT-0500,3.03021305
Sun Nov 28 2021 00:10:00 GMT-0500,3.03021305
Sun Nov 28 2021 12:35:00 GMT-0500,3.03021305
Mon Nov 29 2021 01:00:00 GMT-0500,3.03021305
Mon Nov 29 2021 13:25:00 GMT-0500,3.02012493
Tue Nov 30 2021 01:50:00 GMT-0500,3.02012493
Tue Nov 30 2021 14:15:00 GMT-0500,3.01797355
Wed Dec 01 2021 02:40:00 GMT-0500,3.01797355
