Answer,RAI / USD
Thu Oct 14 2021 08:00:00 GMT-0400 ,3.04190397
Thu Oct 14 2021 20:00:00 GMT-0400 ,3.04190397
Fri Oct 15 2021 08:00:00 GMT-0400 ,3.03570639
Sat Oct 16 2021 08:00:00 GMT-0400 ,3.03311954
Sat Oct 16 2021 20:00:00 GMT-0400 ,3.03311954
Sun Oct 17 2021 08:00:00 GMT-0400 ,3.03385394
Sun Oct 17 2021 20:00:00 GMT-0400 ,3.03385394
Mon Oct 18 2021 08:00:00 GMT-0400 ,3.03
Mon Oct 18 2021 20:00:00 GMT-0400 ,3.03
Tue Oct 19 2021 08:00:00 GMT-0400 ,3.04089626
Tue Oct 19 2021 20:00:00 GMT-0400 ,3.04089626
Wed Oct 20 2021 08:00:00 GMT-0400 ,3.04134108
Wed Oct 20 2021 20:00:00 GMT-0400 ,3.04134108
Thu Oct 21 2021 08:00:00 GMT-0400 ,3.02977953
Fri Oct 22 2021 08:00:00 GMT-0400 ,3.03429159
Sat Oct 23 2021 08:00:00 GMT-0400 ,3.03619623
Sat Oct 23 2021 20:00:00 GMT-0400 ,3.03619623
Sun Oct 24 2021 08:00:00 GMT-0400 ,3.02776355
Sun Oct 24 2021 20:00:00 GMT-0400 ,3.02776355
Mon Oct 25 2021 08:00:00 GMT-0400 ,3.02926288
Mon Oct 25 2021 20:00:00 GMT-0400 ,3.02926288
Tue Oct 26 2021 08:00:00 GMT-0400 ,3.03291379
Tue Oct 26 2021 20:00:00 GMT-0400 ,3.03291379
Wed Oct 27 2021 08:00:00 GMT-0400 ,3.01
Wed Oct 27 2021 20:00:00 GMT-0400 ,3.01
Thu Oct 28 2021 08:00:00 GMT-0400 ,3.03219548
Thu Oct 28 2021 20:00:00 GMT-0400 ,3.03219548
Fri Oct 29 2021 08:00:00 GMT-0400 ,3.03
Fri Oct 29 2021 20:00:00 GMT-0400 ,3.03
Sat Oct 30 2021 08:00:00 GMT-0400 ,3.03
Sat Oct 30 2021 20:00:00 GMT-0400 ,3.03
Sun Oct 31 2021 08:00:00 GMT-0400 ,3.02549863
Sun Oct 31 2021 20:00:00 GMT-0400 ,3.02549863
Mon Nov 01 2021 08:00:00 GMT-0400 ,3.03886261
Mon Nov 01 2021 20:00:00 GMT-0400 ,3.03886261
Tue Nov 02 2021 08:00:00 GMT-0400 ,3.03
Tue Nov 02 2021 20:00:00 GMT-0400 ,3.03
Wed Nov 03 2021 08:00:00 GMT-0400 ,3.03159506
