block,price,ts
13474761,3035531370000000000,1635005219
13479063,3033357120000000000,1635063410
13479064,3033357120000000000,1635063432
13479065,3033357120000000000,1635063445
13479066,3033357120000000000,1635063458
13479067,3033357120000000000,1635063465
13479068,3033357120000000000,1635063467
13479069,3033357120000000000,1635063497
13479070,3033357120000000000,1635063503
13479071,3033357120000000000,1635063519
13479072,3033357120000000000,1635063521
13479073,3033357120000000000,1635063535
13479074,3033357120000000000,1635063556
13479075,3033357120000000000,1635063557
13479076,3033357120000000000,1635063579
13479077,3033357120000000000,1635063587
13479078,3033357120000000000,1635063601
13479079,3033357120000000000,1635063622
13479080,3033357120000000000,1635063628
13479081,3033357120000000000,1635063638
13479082,3033357120000000000,1635063650
13479083,3033357120000000000,1635063651
13479084,3033357120000000000,1635063659
13479085,3033357120000000000,1635063663
13479086,3033357120000000000,1635063741
13479087,3033357120000000000,1635063743
13479088,3033357120000000000,1635063748
13479089,3033357120000000000,1635063756
13479090,3033357120000000000,1635063766
13479091,3033357120000000000,1635063782
13479092,3033357120000000000,1635063812
13479093,3033357120000000000,1635063816
13479094,3033357120000000000,1635063818
13479095,3033357120000000000,1635063847
13479096,3033357120000000000,1635063882
13479097,3033357120000000000,1635063885
13479098,3033357120000000000,1635063892
13479099,3033357120000000000,1635063917
13479100,3033357120000000000,1635063930
13479101,3033357120000000000,1635063955
13479102,3033357120000000000,1635063984
13479103,3033357120000000000,1635063987
13479104,3033357120000000000,1635064002
13479105,3033357120000000000,1635064012
13479106,3033357120000000000,1635064033
13479107,3033357120000000000,1635064047
13479108,3033357120000000000,1635064053
13479109,3033357120000000000,1635064059
13479110,3033357120000000000,1635064100
13479111,3033357120000000000,1635064106
13479112,3033357120000000000,1635064112
13479113,3033357120000000000,1635064114
13479114,3033357120000000000,1635064117
13479115,3033357120000000000,1635064122
13479116,3033357120000000000,1635064135
13479117,3033357120000000000,1635064168
13479118,3033357120000000000,1635064174
13479119,3033357120000000000,1635064183
13479120,3033357120000000000,1635064203
13479121,3033357120000000000,1635064204
13479122,3033357120000000000,1635064206
13479123,3033357120000000000,1635064236
13479124,3033357120000000000,1635064246
13479125,3033357120000000000,1635064253
13479126,3033357120000000000,1635064259
13479127,3033357120000000000,1635064260
13479128,3033357120000000000,1635064265
13479129,3033357120000000000,1635064270
13479130,3033357120000000000,1635064281
13479131,3033357120000000000,1635064305
13479132,3033357120000000000,1635064318
13479133,3033357120000000000,1635064325
13479134,3033357120000000000,1635064369
13479135,3033357120000000000,1635064384
13479136,3033357120000000000,1635064392
13479137,3033357120000000000,1635064416
13479138,3033357120000000000,1635064444
13479139,3033357120000000000,1635064467
13479140,3033357120000000000,1635064483
13479141,3033357120000000000,1635064495
13479142,3033357120000000000,1635064499
13479143,3033357120000000000,1635064502
13479144,3033357120000000000,1635064508
13479145,3033357120000000000,1635064516
13479146,3033357120000000000,1635064542
13479147,3033357120000000000,1635064566
13479148,3033357120000000000,1635064570
13479149,3033357120000000000,1635064580
13479150,3033357120000000000,1635064587
13479151,3033357120000000000,1635064602
13479152,3033357120000000000,1635064610
13479153,3033357120000000000,1635064613
13479154,3033357120000000000,1635064630
13479155,3033357120000000000,1635064655
13479156,3033357120000000000,1635064658
13479157,3033357120000000000,1635064679
13479158,3033357120000000000,1635064681
13479159,3033357120000000000,1635064689
13479160,3033357120000000000,1635064704
13479161,3033357120000000000,1635064718
13479162,3033357120000000000,1635064744
13479163,3033357120000000000,1635064750
13479164,3033357120000000000,1635064763
13479165,3033357120000000000,1635064782
13479166,3033357120000000000,1635064798
13479167,3033357120000000000,1635064817
13479168,3033357120000000000,1635064822
13479169,3033357120000000000,1635064837
13479170,3033357120000000000,1635064842
13479171,3033357120000000000,1635064873
13479172,3033357120000000000,1635064876
13479173,3033357120000000000,1635064891
13479174,3033357120000000000,1635064894
13479175,3033357120000000000,1635064898
13479176,3033357120000000000,1635064901
13479177,3033357120000000000,1635064918
13479178,3033357120000000000,1635064923
13479179,3033357120000000000,1635064927
13479180,3033357120000000000,1635064948
13479181,3033357120000000000,1635064958
13479182,3033357120000000000,1635064961
13479183,3033357120000000000,1635064964
13479184,3033357120000000000,1635064993
13479185,3033357120000000000,1635065003
13479186,3033357120000000000,1635065020
13479187,3033357120000000000,1635065035
13479188,3033357120000000000,1635065049
13479189,3033357120000000000,1635065102
13479190,3033357120000000000,1635065142
13479191,3033357120000000000,1635065157
13479192,3033357120000000000,1635065164
13479193,3033357120000000000,1635065168
13479194,3033357120000000000,1635065181
13479195,3033357120000000000,1635065206
13479196,3033357120000000000,1635065210
13479197,3033357120000000000,1635065231
13479198,3033357120000000000,1635065259
13479199,3033357120000000000,1635065279
13479200,3033357120000000000,1635065289
13479201,3033357120000000000,1635065325
13479202,3033357120000000000,1635065327
13479203,3033357120000000000,1635065338
13479204,3033357120000000000,1635065346
13479205,3033357120000000000,1635065353
13479206,3033357120000000000,1635065369
13479207,3033357120000000000,1635065372
13479208,3033357120000000000,1635065384
13479209,3033357120000000000,1635065408
13479210,3033357120000000000,1635065421
13479211,3033357120000000000,1635065439
13479212,3033357120000000000,1635065445
13479213,3033357120000000000,1635065464
13479214,3033357120000000000,1635065467
13479215,3033357120000000000,1635065471
13479216,3033357120000000000,1635065474
13479217,3033357120000000000,1635065477
13479218,3033357120000000000,1635065497
13479219,3033357120000000000,1635065501
13479220,3033357120000000000,1635065509
13479221,3033357120000000000,1635065512
13479222,3033357120000000000,1635065525
13479223,3033357120000000000,1635065538
13479224,3033357120000000000,1635065541
13479225,3033357120000000000,1635065557
13479226,3033357120000000000,1635065563
13479227,3033357120000000000,1635065569
13479228,3033357120000000000,1635065576
13479229,3033357120000000000,1635065582
13479230,3033357120000000000,1635065593
13479231,3033357120000000000,1635065605
13479232,3033357120000000000,1635065613
13479233,3033357120000000000,1635065664
13479234,3033357120000000000,1635065673
13479235,3033357120000000000,1635065677
13479236,3033357120000000000,1635065682
13479237,3033357120000000000,1635065719
13479238,3033357120000000000,1635065726
13479239,3033357120000000000,1635065729
13479240,3033357120000000000,1635065742
13479241,3033357120000000000,1635065762
13479242,3033357120000000000,1635065786
13479243,3033357120000000000,1635065833
13479244,3033357120000000000,1635065840
13479245,3033357120000000000,1635065842
13479246,3033357120000000000,1635065866
13479247,3033357120000000000,1635065885
13479248,3033357120000000000,1635065934
13479249,3033357120000000000,1635065945
13479250,3033357120000000000,1635065957
